id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,month,season_relevance,name_length,image_path
4415,2,Apparel,Topwear,134,1,3,2011,Casual,Marvel Comics Men's The Incredible Face Distresse Black T-shirt,6.0,relevant,63,4415.jpg
15955,2,Accessories,Ties,123,32,0,2011,Formal,Turtle Men Solid Purple Ties,,irrelevant,28,15955.jpg
29639,2,Apparel,Topwear,104,44,3,2012,Casual,Indigo Nation Men White Shirt,6.0,relevant,29,29639.jpg
30790,2,Apparel,Topwear,63,42,3,2012,Ethnic,Fabindia Men Teal Tussar Kurta,6.0,relevant,30,30790.jpg
43070,3,Accessories,Headwear,18,33,3,2012,Casual,Nike Unisex Red Portugal Football Cap,6.0,relevant,37,43070.jpg
19759,3,Accessories,Watches,140,31,0,2016,Casual,Ice Unisex Sili Pink Watch,,irrelevant,26,19759.jpg
52927,4,Apparel,Saree,101,2,1,2012,Ethnic,FNF White Printed Sari,9.0,relevant,22,52927.jpg
23175,2,Apparel,Topwear,134,25,1,2011,Casual,Mark Taylor Men Navy Blue Printed T-shirt,9.0,relevant,41,23175.jpg
54933,0,Apparel,Topwear,134,0,3,2012,Casual,Do u speak green Boys Beige T-shirt,6.0,relevant,35,54933.jpg
19530,2,Apparel,Topwear,119,25,1,2011,Casual,United Colors of Benetton Men Stripes Navy Blue Sweater,9.0,relevant,55,19530.jpg
30124,2,Apparel,Topwear,134,12,3,2012,Casual,Flying Machine Men Green Polo T-shirt,6.0,relevant,37,30124.jpg
6813,2,Footwear,Shoes,19,13,3,2011,Casual,Timberland Men's Cityendur Ox Grey Shoe,6.0,relevant,39,6813.jpg
43505,2,Apparel,Topwear,134,1,3,2012,Casual,French Connection Men Black T-shirt,6.0,relevant,35,43505.jpg
31185,2,Accessories,Accessories,0,4,0,2015,Casual,Cabarelli Men Accessory Gift Set,,irrelevant,32,31185.jpg
5778,4,Apparel,Topwear,127,45,3,2011,Casual,Jealous 21 Women's Yellow Graphic Tops,6.0,relevant,38,5778.jpg
28605,2,Footwear,Shoes,112,1,3,2012,Casual,Nike Men Dunk High Black Shoes,6.0,relevant,30,28605.jpg
43668,4,Apparel,Topwear,135,31,3,2012,Casual,ONLY Women Pink Tunic,6.0,relevant,21,43668.jpg
7073,3,Accessories,Bags,2,29,0,2015,Casual,Wildcraft Unisex Orange & White Printed Backpack,,irrelevant,48,7073.jpg
6940,2,Apparel,Topwear,134,4,3,2011,Casual,Tantra Men's Yoga Choco T-shirt,6.0,relevant,31,6940.jpg
55243,4,Personal Care,Makeup,42,38,3,2019,Casual,Lakme Perfecting Natural Pearl Liquid Foundation,6.0,relevant,48,55243.jpg
39797,2,Apparel,Bottomwear,132,1,3,2012,Formal,Peter England Men Black Formal Trousers,6.0,relevant,39,39797.jpg
19024,4,Footwear,Shoes,38,31,4,2015,Casual,Catwalk Women Fashion Cut-Out Pink Flats,12.0,relevant,40,19024.jpg
16152,2,Footwear,Shoes,41,4,1,2011,Formal,Enroute Men Leather Brown Formal Shoes,9.0,relevant,38,16152.jpg
54652,4,Accessories,Watches,140,1,0,2016,Casual,Fastrack Women Black Dial Watch N6037SL02,,irrelevant,41,54652.jpg
15097,4,Apparel,Topwear,63,31,1,2011,Ethnic,Mother Earth Women Printed Pink Kurtas,9.0,relevant,38,15097.jpg
35940,4,Apparel,Bottomwear,17,1,3,2012,Casual,Flying Machine Women Viscose Black Capris,6.0,relevant,41,35940.jpg
21180,2,Footwear,Flip Flops,39,1,3,2011,Casual,ADIDAS Men Adi Cells Black Flip Flops,6.0,relevant,37,21180.jpg
20969,2,Accessories,Belts,7,1,0,2016,Casual,Fastrack Men Leatherette Black Belt,,irrelevant,35,20969.jpg
30756,2,Apparel,Topwear,63,12,3,2012,Ethnic,Fabindia Men Green Kurta,6.0,relevant,24,30756.jpg
14952,2,Apparel,Topwear,134,25,1,2011,Casual,Status Quo Men Stripes Navy Blue Tshirts,9.0,relevant,40,14952.jpg
58893,2,Accessories,Ties,123,13,0,2012,Casual,Hakashi Men Grey Tie,,irrelevant,20,58893.jpg
20016,4,Apparel,Topwear,127,31,3,2012,Casual,United Colors of Benetton Women Printed Pink Top,6.0,relevant,48,20016.jpg
9247,2,Apparel,Topwear,104,44,1,2011,Formal,Mark Taylor Men White Striped Shirt,9.0,relevant,35,9247.jpg
36470,4,Apparel,Topwear,63,33,3,2012,Ethnic,Aurelia Women Placket Red Kurta,6.0,relevant,31,36470.jpg
37856,4,Accessories,Bags,48,1,0,2012,Casual,Hidekraft Women Black Handbag,,irrelevant,29,37856.jpg
31611,2,Apparel,Topwear,104,2,3,2012,Formal,Indigo Nation Men Striped Blue Shirt,6.0,relevant,36,31611.jpg
19697,2,Apparel,Topwear,104,44,1,2011,Casual,United Colors of Benetton Men Solid White Shirt,9.0,relevant,47,19697.jpg
23123,3,Footwear,Flip Flops,39,33,2,2013,Casual,Converse Unisex Red Basic Flip Flops,3.0,relevant,36,23123.jpg
34298,4,Apparel,Topwear,30,15,3,2012,Ethnic,Fabindia Women Khaki Tussar Dupatta,6.0,relevant,35,34298.jpg
7218,2,Footwear,Shoes,41,4,1,2011,Formal,Rockport Men's Carnforth Soft Brown Shoe,9.0,relevant,40,7218.jpg
10751,2,Apparel,Bottomwear,128,13,1,2011,Sports,Nike Men Breakline Grey Track Pants,9.0,relevant,35,10751.jpg
49308,2,Accessories,Socks,110,1,0,2016,Casual,Arrow Men Pack Of 5 Basic Plating Socks,,irrelevant,39,49308.jpg
14105,2,Apparel,Topwear,134,2,1,2011,Casual,Flying Machine Men Stripes Blue Tshirts,9.0,relevant,39,14105.jpg
23774,4,Accessories,Eyewear,116,44,0,2016,Casual,Oakley Women White Correspondent Sunglasses,,irrelevant,43,23774.jpg
4559,2,Footwear,Shoes,112,44,3,2011,Sports,Nike Men's Dunk High White Blue Shoe,6.0,relevant,36,4559.jpg
55462,4,Personal Care,Lips,72,32,2,2017,Casual,Revlon Super Lustrous Plum Baby Lipstick 313,3.0,relevant,44,55462.jpg
42214,4,Apparel,Topwear,127,44,3,2012,Casual,Sepia Women White Top,6.0,relevant,21,42214.jpg
26028,2,Personal Care,Fragrance,91,32,0,2017,Casual,Slazenger Men Advance Perfume,,irrelevant,29,26028.jpg
6870,4,Apparel,Dress,28,31,3,2011,Casual,Forever New Women's Pink Dress,6.0,relevant,30,6870.jpg
41161,4,Apparel,Bottomwear,132,15,3,2012,Casual,Allen Solly Woman Khaki Trousers,6.0,relevant,32,41161.jpg
20433,4,Accessories,Wallets,139,12,0,2015,Casual,Baggit Women Era Taj Green Wallet,,irrelevant,33,20433.jpg
12464,2,Accessories,Stoles,114,9,0,2011,Casual,Basics Men Cream-Coloured Checked Stoles,,irrelevant,40,12464.jpg
40311,3,Footwear,Sandal,100,31,4,2013,Casual,Warner Bros Kids Unisex Pink Sandals,12.0,relevant,36,40311.jpg
7083,3,Accessories,Bags,2,1,0,2015,Casual,Wildcraft Alfa Unisex Black Backpack,,irrelevant,36,7083.jpg
49024,4,Accessories,Jewellery,94,37,0,2013,Casual,Lucera Women Set of Two Silver Ring,,irrelevant,35,49024.jpg
24411,2,Footwear,Shoes,112,1,3,2012,Sports,ADIDAS Men TC Clima Mid Black Sports Shoes,6.0,relevant,42,24411.jpg
34815,2,Footwear,Shoes,112,2,3,2012,Casual,ADIDAS Men Climacool Boat SL Blue Sports Shoes,6.0,relevant,46,34815.jpg
17886,2,Apparel,Innerwear,53,44,3,2016,Casual,Levis Men Comfort Style White Innerwear Vest,6.0,relevant,44,17886.jpg
33274,1,Apparel,Bottomwear,66,1,3,2012,Casual,Gini and Jony Girls Black Leggings,6.0,relevant,34,33274.jpg
43261,4,Apparel,Topwear,63,9,3,2012,Ethnic,Aneri Women Cream Kurta,6.0,relevant,23,43261.jpg
11710,2,Apparel,Topwear,104,44,1,2011,Casual,Lee Men Solid White Shirts,9.0,relevant,26,11710.jpg
15795,2,Apparel,Innerwear,15,6,3,2016,Casual,Facit Men Mid- Rise BF Charcoal Briefs,6.0,relevant,38,15795.jpg
2679,2,Apparel,Topwear,134,1,3,2011,Casual,Inkfruit Men's You Are Being Black T-shirt,6.0,relevant,42,2679.jpg
24784,4,Accessories,Belts,7,44,0,2015,Casual,Lino Perros Women Ladies Belts White/Pink White Belts,,irrelevant,53,24784.jpg
6648,2,Footwear,Shoes,19,44,3,2011,Casual,Nike Men's Air 180 White Shoe,6.0,relevant,29,6648.jpg
20614,4,Accessories,Bags,48,25,0,2015,Casual,Baggit Women Ishqx Excel Navy Blue Handbag,,irrelevant,42,20614.jpg
38207,4,Accessories,Eyewear,116,37,0,2016,Casual,Polaroid Women Sunglasses,,irrelevant,25,38207.jpg
31987,2,Accessories,Socks,110,9,0,2016,Casual,Playboy Men Cream Socks,,irrelevant,23,31987.jpg
12544,4,Apparel,Topwear,134,30,1,2011,Casual,Tantra Women Printed Peach T-shirt,9.0,relevant,34,12544.jpg
29732,4,Accessories,Bags,48,30,0,2012,Casual,Kiara Women Leatherette Peach Handbag,,irrelevant,37,29732.jpg
18799,3,Accessories,Bags,48,15,0,2010,Casual,Peter England Unisex Casual Khakhi Bag,,irrelevant,38,18799.jpg
30681,2,Accessories,Eyewear,116,1,0,2016,Casual,Park Avenue Men Black Sunglasses,,irrelevant,32,30681.jpg
33487,2,Apparel,Topwear,104,33,3,2012,Casual,Doodle Kids Boy Check Red Shirt,6.0,relevant,31,33487.jpg
22000,4,Accessories,Bags,48,13,0,2015,Casual,Murcia Women Casual Grey Handbag,,irrelevant,32,22000.jpg
14027,2,Apparel,Topwear,134,45,1,2011,Sports,Nike Men Printed Yellow Tshirts,9.0,relevant,31,14027.jpg
42087,2,Footwear,Shoes,112,44,3,2012,Sports,ADIDAS Men White Aztek Shoes,6.0,relevant,28,42087.jpg
25727,2,Accessories,Belts,7,25,0,2012,Casual,Wrangler Men Canvas Navy Blue Belt,,irrelevant,34,25727.jpg
58817,4,Footwear,Shoes,19,0,2,2013,Casual,Skechers Women Beige Casual Shoes,3.0,relevant,33,58817.jpg
43923,4,Apparel,Topwear,127,2,3,2012,Casual,Femella Women Blue Top,6.0,relevant,22,43923.jpg
28018,2,Apparel,Innerwear,15,6,3,2016,Casual,Jockey ELANCE Men Grey Pack of 2 Briefs 1004,6.0,relevant,44,28018.jpg
4472,2,Footwear,Shoes,112,37,3,2011,Sports,Puma Men's Complete Itana Silver Blue Black Shoe,6.0,relevant,48,4472.jpg
17866,2,Apparel,Innerwear,15,25,3,2016,Casual,Levis Men Boxer Navy Blue Brief,6.0,relevant,31,17866.jpg
36908,2,Accessories,Wallets,139,1,0,2016,Casual,Fossil Men Black Cross Traveler Wallet,,irrelevant,38,36908.jpg
57347,4,Apparel,Innerwear,13,4,4,2015,Casual,Amante Brown Full-Coverage Bra BGFM01,12.0,relevant,37,57347.jpg
15970,2,Apparel,Topwear,104,25,1,2011,Casual,Turtle Check Men Navy Blue Shirt,9.0,relevant,32,15970.jpg
12238,2,Apparel,Topwear,104,2,1,2011,Formal,Genesis Men Stripes Blue Shirts,9.0,relevant,31,12238.jpg
51397,2,Apparel,Bottomwear,107,44,3,2012,Casual,Myntra Men Blue Check Shorts,6.0,relevant,28,51397.jpg
18649,2,Footwear,Flip Flops,39,13,1,2011,Casual,Fila Men Ocassion Grey Slippers,9.0,relevant,31,18649.jpg
14846,2,Accessories,Wallets,139,7,0,2011,Casual,United Colors of Benetton Men Solid Coffee Brown Wallets,,irrelevant,56,14846.jpg
6728,4,Footwear,Shoes,112,44,3,2011,Sports,Puma Women Faas 300 White Silver Purple Shoe,6.0,relevant,44,6728.jpg
30823,4,Apparel,Bottomwear,20,2,3,2012,Ethnic,Fabindia Women Blue Churidar,6.0,relevant,28,30823.jpg
6408,2,Footwear,Sandal,100,0,3,2011,Casual,Lotto Men Cross Beige Floater,6.0,relevant,29,6408.jpg
11017,4,Apparel,Topwear,127,2,1,2011,Casual,Wrangler Women Floral Print Blue Top,9.0,relevant,36,11017.jpg
21668,2,Accessories,Watches,140,37,0,2016,Casual,Fossil Men Silver-Toned Dial Chronograph Watch CH2592,,irrelevant,53,21668.jpg
57913,2,Accessories,Socks,110,44,0,2016,Casual,Fruit of the Loom Men Black and White Pack of Three Socks,,irrelevant,57,57913.jpg
48250,0,Apparel,Topwear,134,33,3,2012,Casual,The Amazing Spiderman Boys Red T-Shirt,6.0,relevant,38,48250.jpg
51612,4,Apparel,Bottomwear,66,13,3,2012,Casual,Kraus Jeans Women Grey leggings,6.0,relevant,31,51612.jpg
7445,2,Apparel,Topwear,134,13,3,2011,Casual,Proline Men Grey & Red Colourblocked Polo T-shirt,6.0,relevant,49,7445.jpg
27820,2,Accessories,Belts,7,4,0,2013,Formal,Bulchee Men Brown Padded Chino Belt,,irrelevant,35,27820.jpg
15539,3,Accessories,Headwear,18,33,3,2011,Sports,Fila Unisex Printed Red Caps,6.0,relevant,28,15539.jpg
13936,4,Apparel,Topwear,104,33,3,2011,Casual,United Colors of Benetton Women Printed Red Shirts,6.0,relevant,50,13936.jpg
36915,2,Accessories,Wallets,139,4,0,2016,Casual,Fossil Men Brown Wallet,,irrelevant,23,36915.jpg
